,#,club,Expenditure,Arrivals,Income,Departures,Balance,Year
0,1,Manchester City,187.38,28,60.69,24,-126.68,2015
1,2,Manchester United,140.4,22,90.6,20,-49.8,2015
2,3,Liverpool,113.85,30,81.5,24,-32.36,2015
3,4,Newcastle United,97.12,28,5.07,24,-92.05,2015
4,5,Chelsea,86.85,54,78.74,39,-8.11,2015
5,6,Watford,74.52,39,8.78,31,-65.75,2015
6,7,Tottenham,63.9,12,78.82,22,14.92,2015
7,8,Aston Villa,59.9,31,58.23,32,-1.67,2015
8,9,Sunderland,59.45,34,9.9,28,-49.55,2015
9,10,Southampton,54.09,16,47.43,18,-6.66,2015
10,11,Bournemouth,49.6,37,0.59,35,-49.01,2015
11,12,Stoke,48.29,16,20.88,16,-27.41,2015
12,13,West Ham,47.43,29,16.66,31,-30.77,2015
13,14,Norwich,45.45,35,19.34,31,-26.11,2015
14,15,Leicester,44.91,27,8.51,33,-36.41,2015
15,16,Everton,44.01,19,9.9,17,-34.11,2015
16,17,West Bromwich Albion,38.61,12,11.63,13,-26.98,2015
17,18,Crystal Palace,25.92,19,4.86,25,-21.06,2015
18,19,Arsenal,23.85,16,2.25,12,-21.6,2015
19,20,Swansea,19.63,23,15.12,24,-4.5,2015
